,d__Bacteria,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae,d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae,other
1,0.1195,0.8014444444444444,0.06322222222222222,0.0032222222222222222,0.0,0.0003333333333333333,0.0017222222222222222,0.010555555555555556
2,0.1594219135110912,0.6778512211516917,0.1090634102621555,0.008402419896930316,5.601613264620211e-05,0.00851445216222272,0.01910150123235492,0.01758906565090746
3,0.17734073906143732,0.5958399455905691,0.13687372477896168,0.012355474948991158,0.00022670596236681024,0.01858988891407844,0.036613012922239854,0.0221605078213557
4,0.17683333333333334,0.5595,0.14344444444444446,0.014055555555555556,0.0005,0.029388888888888888,0.05255555555555556,0.02372222222222222
5,0.14312596856320567,0.5808058445871154,0.1198251051582909,0.013891963692716405,0.002767323444764224,0.04582687624529555,0.0720611025016604,0.021695815806951516
6,0.07893544733861835,0.6366364665911665,0.08335220838052095,0.013363533408833523,0.009003397508493771,0.06591166477916195,0.09365798414496036,0.01913929784824462
7,0.027833333333333335,0.6842777777777778,0.06622222222222222,0.011722222222222222,0.017611111111111112,0.07355555555555555,0.10072222222222223,0.018055555555555554
8,0.009555555555555555,0.7318888888888889,0.10383333333333333,0.007555555555555556,0.052444444444444446,0.058333333333333334,0.02238888888888889,0.014
9,0.062,0.7420555555555556,0.07861111111111112,0.007666666666666666,0.027444444444444445,0.05527777777777778,0.017277777777777777,0.009666666666666667
10,0.005722222222222222,0.7358888888888889,0.11755555555555555,0.006555555555555556,0.0295,0.05355555555555556,0.035444444444444445,0.01577777777777778
11,0.008388888888888888,0.7266666666666667,0.13016666666666668,0.0055,0.06166666666666667,0.03811111111111111,0.017444444444444443,0.012055555555555555
12,0.016666666666666666,0.7277777777777777,0.09938888888888889,0.00788888888888889,0.022166666666666668,0.04883333333333333,0.0555,0.021777777777777778
13,0.05277777777777778,0.7222222222222222,0.08533333333333333,0.008555555555555556,0.03827777777777778,0.0345,0.03916666666666667,0.019166666666666665
14,0.042,0.7458333333333333,0.08877777777777777,0.005611111111111111,0.038,0.020444444444444446,0.043166666666666666,0.016166666666666666
15,0.006222222222222222,0.6733888888888889,0.16394444444444445,0.004111111111111111,0.05811111111111111,0.04427777777777778,0.03927777777777778,0.010666666666666666
16,0.11638888888888889,0.6736111111111112,0.07444444444444444,0.004611111111111111,0.035444444444444445,0.04427777777777778,0.03411111111111111,0.01711111111111111
17,0.06769556496545576,0.716792957432583,0.07532872743481168,0.012647648763093381,0.036550033429908625,0.042734566525518165,0.026186761756184534,0.02206373969244484
18,0.018666666666666668,0.7562222222222222,0.0801111111111111,0.02038888888888889,0.03766666666666667,0.03938888888888889,0.021055555555555557,0.0265
19,0.03761111111111111,0.7433888888888889,0.08733333333333333,0.014444444444444444,0.016444444444444446,0.034777777777777776,0.04094444444444444,0.025055555555555557
20,0.0034444444444444444,0.7810555555555555,0.1195,0.006111111111111111,0.028333333333333332,0.03783333333333333,0.01211111111111111,0.01161111111111111
